Sorghum bicolor	Brachypodium distachyon	Oryza sativa	Panicum virgatum	Setaria italica	Zea mays	
Sobic.001G000100	Bradi2g42460		Pavir.4KG278600, Pavir.4KG276600	Seita.9G000900	GRMZM2G007948
Sobic.006G253000	Bradi2g17451, Bradi2g17490	LOC_Os05g05390			GRMZM2G511859
Sobic.006G253050					
Sobic.006G253100	Bradi4g36085, Bradi2g17872	LOC_Os05g06560, LOC_Os08g05310, LOC_Os08g05080	Pavir.5KG469800		
Sobic.006G253200					
Sobic.006G253300	Bradi5g25010	LOC_Os04g56690		Seita.3G026600	GRMZM2G365166
Sobic.006G253400	Bradi2g17451, Bradi2g17490	LOC_Os05g05390			GRMZM2G511859
Sobic.006G253500	Bradi4g36085, Bradi2g17872	LOC_Os05g06560, LOC_Os08g05310, LOC_Os08g05080	Pavir.5KG469800		
Sobic.006G253600					
Sobic.006G253700	Bradi5g25010	LOC_Os04g56690		Seita.3G026600	GRMZM2G365166
Sobic.006G253801	Bradi5g25010	LOC_Os04g56690		Seita.3G026600	GRMZM2G365166
Sobic.006G253900	Bradi5g25050	LOC_Os04g56700	Pavir.7KG381100, Pavir.7KG433300	Seita.3G026900	GRMZM2G062396
Sobic.006G254000	Bradi5g25050	LOC_Os04g56700	Pavir.7KG381100, Pavir.7KG433300	Seita.3G026900	GRMZM2G062396
Sobic.006G254100	Bradi5g25070	LOC_Os04g56710	Pavir.7KG433400, Pavir.7KG381000, Pavir.7NG425800	Seita.3G027000	GRMZM2G106376, GRMZM2G062420
Sobic.006G254200			Pavir.7KG433600, Pavir.7KG380900, Pavir.7NG426000	Seita.3G027200, Seita.3G024700, Seita.3G026800	GRMZM2G511859
Sobic.006G254300	Bradi5g25080	LOC_Os04g56720	Pavir.7KG433800, Pavir.7KG380600, Pavir.7NG426300	Seita.3G027300	GRMZM5G866734
Sobic.006G254400	Bradi2g17451, Bradi2g17490	LOC_Os05g05390			GRMZM2G511859
Sobic.006G254500	Bradi5g25090	LOC_Os04g56740	Pavir.7KG380400, Pavir.7KG433900, Pavir.7NG426400	Seita.3G027400	GRMZM2G155111, GRMZM2G348909
Sobic.006G254600	Bradi5g25100	LOC_Os04g56750	Pavir.7NG426500, Pavir.7KG380300, Pavir.7KG434000	Seita.3G027500	GRMZM2G028492, GRMZM2G046968
Sobic.006G254700	Bradi1g36290	LOC_Os05g30410, LOC_Os04g56760	Pavir.2KG062300	Seita.2G051100	GRMZM2G047018
Sobic.006G254800	Bradi1g36277	LOC_Os04g56770	Pavir.7KG434200, Pavir.7KG380100, Pavir.7NG426700, Pavir.7NG412100	Seita.3G027700	GRMZM2G107920, GRMZM2G047321
Sobic.006G254900	Bradi5g25113	LOC_Os04g56780	Pavir.7KG380000, Pavir.7NG426900	Seita.3G027800	GRMZM2G028622, GRMZM2G047448
Sobic.006G255000	Bradi5g25130	LOC_Os04g56790	Pavir.7NG427100, Pavir.7KG379900	Seita.3G027900	GRMZM2G047474
Sobic.006G255100	Bradi5g25153	LOC_Os04g56800	Pavir.7NG427200	Seita.3G028000	GRMZM2G047590
Sobic.006G255200					
Sobic.006G255300	Bradi5g25157	LOC_Os04g56850	Pavir.7NG427500	Seita.3G028100	GRMZM2G086949, GRMZM2G034840
Sobic.006G255400	Bradi4g07847	LOC_Os04g56920	Pavir.7NG427800, Pavir.7NG426100	Seita.3G028400	GRMZM2G018692
Sobic.006G255500	Bradi4g07847	LOC_Os04g56930	Pavir.1KG110900	Seita.3G028300, Seita.3G028500	GRMZM2G018716
Sobic.006G255600	Bradi5g25270	LOC_Os09g08072	Pavir.7NG428000, Pavir.2KG110000	Seita.3G028600	GRMZM2G119941
Sobic.006G255700					
Sobic.006G255800			Pavir.8KG366200, Pavir.J302500, Pavir.7NG428100, Pavir.7NG428300	Seita.3G028700	GRMZM2G119916
Sobic.006G255900	Bradi5g25300	LOC_Os04g56970	Pavir.7KG389600, Pavir.7NG428400	Seita.3G028800	GRMZM2G119773
Sobic.006G256000					
Sobic.006G256100	Bradi5g25310	LOC_Os04g56980	Pavir.7KG390300, Pavir.7KG389500	Seita.3G028900	GRMZM2G035325, GRMZM2G124502
Sobic.006G256200	Bradi5g25320	LOC_Os04g56990	Pavir.7KG389300, Pavir.7KG355500, Pavir.7KG390200	Seita.3G029000	GRMZM2G124495, GRMZM2G035370
Sobic.006G256300	Bradi3g33360, Bradi2g08390	LOC_Os09g32650, LOC_Os09g21110	Pavir.J481300, Pavir.9NG136300, Pavir.3KG077300, Pavir.3NG049500	Seita.3G035800	GRMZM2G071333
Sobic.006G256400	Bradi5g25330	LOC_Os04g56995	Pavir.7NG428500, Pavir.7KG389200	Seita.3G029200	GRMZM2G071330
Sobic.006G256500	Bradi5g25340	LOC_Os04g57010	Pavir.7NG428600, Pavir.7KG389100	Seita.3G029300	GRMZM2G071034, GRMZM2G124476
Sobic.006G256600	Bradi5g25350	LOC_Os04g57020	Pavir.7KG389000, Pavir.7NG428700	Seita.3G029400	GRMZM2G371944, GRMZM2G124466
Sobic.006G256700	Bradi5g25360	LOC_Os04g57030	Pavir.7NG428900, Pavir.7KG388700	Seita.3G029500	AC206638.3_FGP007
Sobic.006G256801					
Sobic.006G256900		LOC_Os04g57130	Pavir.7KG388400, Pavir.7NG429600	Seita.3G193500	GRMZM2G423975
Sobic.006G257001	Bradi1g19830	LOC_Os07g44790, LOC_Os03g28400	Pavir.2NG651200, Pavir.2KG560700	Seita.2G409800	GRMZM2G125149, GRMZM2G070389
Sobic.006G257100		LOC_Os04g57130	Pavir.7KG388400, Pavir.7NG429600	Seita.3G193500	
Sobic.006G257200	Bradi5g25390	LOC_Os04g57140	Pavir.7KG388300, Pavir.7NG429000	Seita.3G029800	GRMZM2G070273, GRMZM2G423861
Sobic.006G257250					
Sobic.006G257300	Bradi5g25400	LOC_Os04g57150	Pavir.7KG387900, Pavir.7NG429800, Pavir.7KG388200	Seita.3G029900	GRMZM2G125083
Sobic.006G257400	Bradi5g25407	LOC_Os04g57160	Pavir.7NG429900, Pavir.7KG387700	Seita.3G030000	GRMZM2G175343
Sobic.006G257500	Bradi5g25417	LOC_Os04g57180	Pavir.7NG430100, Pavir.7KG387500, Pavir.7NG430000, Pavir.7KG387600	Seita.3G030100	GRMZM2G025536
Sobic.006G257550					
Sobic.006G257600	Bradi5g25427	LOC_Os04g57190	Pavir.7KG387200	Seita.3G030300	GRMZM2G033375
Sobic.006G257700	Bradi5g25440	LOC_Os04g57200	Pavir.7NG430400, Pavir.7KG385500	Seita.3G030500	GRMZM2G043932, GRMZM2G405662
Sobic.006G257800	Bradi5g25450	LOC_Os04g57210	Pavir.7NG430500, Pavir.7KG385600	Seita.3G030600	GRMZM2G043862
Sobic.006G257900	Bradi5g25460	LOC_Os04g57220	Pavir.7NG430600, Pavir.7KG385700		GRMZM2G102471
Sobic.006G258000	Bradi5g25467	LOC_Os04g57230	Pavir.7NG430800, Pavir.7KG385800	Seita.3G030700	GRMZM2G107620
Sobic.006G258100					
Sobic.006G258200					
Sobic.006G258300	Bradi5g25480	LOC_Os08g03870, LOC_Os08g04010	Pavir.7NG431000, Pavir.7KG386100	Seita.3G031000	GRMZM2G107557
Sobic.006G258400	Bradi5g25490	LOC_Os04g57290	Pavir.7KG386200, Pavir.7NG431100	Seita.3G031100	GRMZM2G179532
Sobic.006G258500	Bradi5g25500	LOC_Os04g57300	Pavir.7KG386300, Pavir.7NG431200	Seita.3G031200, Seita.3G043200	GRMZM2G179523
Sobic.006G258600	Bradi5g25506	LOC_Os04g57310	Pavir.7KG387000, Pavir.7NG431300	Seita.3G031300	GRMZM2G179518
Sobic.006G258700	Bradi5g25540	LOC_Os04g57320	Pavir.7NG431400, Pavir.7KG386900	Seita.3G031400	GRMZM2G102349
Sobic.006G258800	Bradi5g25540	LOC_Os04g57320	Pavir.7NG431400, Pavir.7KG386900	Seita.3G031400	GRMZM2G102349
Sobic.006G258900	Bradi5g25547	LOC_Os04g57330	Pavir.7KG386800, Pavir.7NG431500	Seita.3G031500	GRMZM2G179507
Sobic.006G259000	Bradi5g25570	LOC_Os04g57340	Pavir.7NG431600	Seita.3G031600	
Sobic.006G259100	Bradi5g25580	LOC_Os04g57350	Pavir.7KG386600	Seita.3G031700	GRMZM2G065012
Sobic.006G259201	Bradi5g25585	LOC_Os04g57360	Pavir.7NG431800, Pavir.7KG386500	Seita.3G031800	
Sobic.006G259300	Bradi2g13720	LOC_Os01g31760	Pavir.5NG354900	Seita.5G175400	GRMZM2G464176
Sobic.006G259401	Bradi5g25593	LOC_Os04g57370	Pavir.7KG386400, Pavir.7NG431900	Seita.3G032000	GRMZM2G064967
Sobic.006G259501	Bradi3g19875	LOC_Os08g19210	Pavir.6NG111200	Seita.6G151800, Seita.6G109200	
Sobic.006G259600	Bradi5g25610	LOC_Os04g57400, LOC_Os04g57410	Pavir.7KG385100, Pavir.7NG432500	Seita.3G032300	GRMZM2G464137
Sobic.006G259700	Bradi5g25610	LOC_Os04g57400, LOC_Os04g57410	Pavir.7KG385100, Pavir.7NG432500	Seita.3G032300	GRMZM2G464137
Sobic.006G259800	Bradi2g59497	LOC_Os01g70310	Pavir.5NG613400, Pavir.5KG747200	Seita.5G438300	
Sobic.006G259900	Bradi5g25620	LOC_Os04g57420	Pavir.7NG432600, Pavir.7KG385000	Seita.3G032500	GRMZM2G064870, GRMZM2G038384
Sobic.006G260000	Bradi1g01176	LOC_Os05g46800, LOC_Os05g46890			
Sobic.006G260101					
Sobic.006G260200	Bradi5g25630	LOC_Os04g57430	Pavir.7KG384900, Pavir.7NG432700	Seita.3G032600	GRMZM2G340084
Sobic.006G260300	Bradi5g25637	LOC_Os04g57440	Pavir.7NG432800, Pavir.7KG384600	Seita.3G032700	GRMZM2G340065, GRMZM2G010435
Sobic.006G260400	Bradi3g07550, Bradi5g09217, Bradi5g09212	LOC_Os01g09510, LOC_Os02g32760	Pavir.2NG052700, Pavir.2NG054000, Pavir.2KG059900, Pavir.2KG061300, Pavir.2KG061200, Pavir.2NG053900, Pavir.2KG149900	Seita.6G192700, Seita.7G089200, Seita.2G050500	GRMZM2G010257, GRMZM2G075630, GRMZM2G102891, GRMZM2G119809
Sobic.006G260500	Bradi1g35900, Bradi2g15250	LOC_Os06g41440	Pavir.7NG433000, Pavir.7KG384400	Seita.9G370300	GRMZM2G009994
Sobic.006G260600	Bradi5g25650	LOC_Os04g57480	Pavir.7NG433100, Pavir.7KG384200	Seita.3G032900	GRMZM2G107187
Sobic.006G260700			Pavir.9KG484800, Pavir.7NG433400, Pavir.7KG384100	Seita.3G033000	
Sobic.006G260800	Bradi5g25667	LOC_Os04g57500	Pavir.7NG433500, Pavir.7KG383900	Seita.3G033200	GRMZM2G104538
Sobic.006G260900	Bradi5g25660	LOC_Os04g57510	Pavir.7KG383800, Pavir.7NG433700	Seita.3G033300	GRMZM2G149932
Sobic.006G261000	Bradi5g25691	LOC_Os01g24810	Pavir.7KG383700	Seita.3G033400	GRMZM2G450231
Sobic.006G261100	Bradi5g25710	LOC_Os04g57520	Pavir.7NG433900	Seita.3G020900	GRMZM2G104430, GRMZM2G149979
Sobic.006G261200	Bradi5g25700		Pavir.7KG383300, Pavir.7NG434200, Pavir.J124600	Seita.3G020800	GRMZM2G081445
Sobic.006G261300	Bradi5g25720	LOC_Os04g57540	Pavir.7KG383200, Pavir.7NG434300	Seita.3G020700	GRMZM2G150014, GRMZM2G347841
Sobic.006G261400	Bradi4g00270	LOC_Os08g31470	Pavir.3NG225700	Seita.3G353700	GRMZM2G078541, GRMZM2G150212
Sobic.006G261500	Bradi5g25730	LOC_Os04g57550	Pavir.7KG383100, Pavir.7NG434400	Seita.3G020600	GRMZM2G078033
Sobic.006G261550	Bradi2g32775, Bradi4g22540, Bradi5g08880	LOC_Os05g06010	Pavir.6KG150200, Pavir.1KG390500, Pavir.6NG219600, Pavir.9KG230600, Pavir.4KG366100, Pavir.5NG623200, Pavir.2NG642500, Pavir.6NG080500, Pavir.6KG382700, Pavir.9KG601300, Pavir.6NG211900, Pavir.7KG149300, Pavir.6NG172300, Pavir.9NG224700, Pavir.3KG291800, Pavir.6NG146000, Pavir.3KG055000, Pavir.J062100		AC189284.3_FGP003
Sobic.006G261600	Bradi5g25740	LOC_Os04g57560	Pavir.7NG434500	Seita.3G020400	GRMZM2G150248
Sobic.006G261650					
Sobic.006G261700	Bradi5g25750	LOC_Os04g57590			GRMZM2G077541
Sobic.006G261800	Bradi5g25760	LOC_Os04g57600	Pavir.7NG434700, Pavir.7KG382800	Seita.3G020200	GRMZM2G150262
Sobic.006G261900	Bradi5g02060, Bradi3g57657	LOC_Os01g37090	Pavir.5KG304800, Pavir.5NG367500	Seita.5G172800	GRMZM2G078174, GRMZM2G150286
Sobic.006G262001			Pavir.J611300		
Sobic.006G262100	Bradi5g25767	LOC_Os04g57610	Pavir.7KG382600	Seita.3G020000	GRMZM2G475882, GRMZM2G078274
Sobic.006G262200					
Sobic.006G262300	Bradi5g02060, Bradi3g57657	LOC_Os01g37090	Pavir.5KG304800, Pavir.5NG367500	Seita.5G172800	GRMZM2G078174, GRMZM2G150286
Sobic.006G262400	Bradi5g25790	LOC_Os04g57630	Pavir.7KG382500, Pavir.7NG435300	Seita.3G019900	GRMZM2G452142
Sobic.006G262501					
Sobic.006G262600	Bradi5g25810	LOC_Os04g57650	Pavir.7KG382200	Seita.3G019700	GRMZM2G069389
Sobic.006G262700		LOC_Os04g57660	Pavir.5KG015300	Seita.3G019600	
Sobic.006G262800	Bradi5g26937, Bradi5g25817	LOC_Os04g57670	Pavir.5KG015200, Pavir.7KG382000	Seita.3G019500	GRMZM2G052339
Sobic.006G262900	Bradi5g25827	LOC_Os04g57680	Pavir.J632900, Pavir.7KG381800	Seita.3G019300	GRMZM2G145775
Sobic.006G263000	Bradi2g11270	LOC_Os01g18880	Pavir.5KG214700, Pavir.5NG209900	Seita.5G030400	GRMZM2G145816
Sobic.006G263100	Bradi5g25840	LOC_Os04g57690	Pavir.7KG381700, Pavir.J632800	Seita.3G019200	GRMZM2G145825
Sobic.006G263200	Bradi5g25850	LOC_Os04g57700	Pavir.7NG435400, Pavir.7KG381600	Seita.3G019100	GRMZM2G020843, GRMZM2G351577
Sobic.006G263250					
Sobic.006G263300	Bradi5g25860	LOC_Os04g57720	Pavir.7NG435700, Pavir.7KG378200	Seita.3G019000	GRMZM2G392101
Sobic.006G263400	Bradi5g25880	LOC_Os04g57730	Pavir.7NG435900, Pavir.7KG378000	Seita.3G018900	GRMZM2G040627
Sobic.006G263500	Bradi5g25890	LOC_Os04g57750	Pavir.7NG436000, Pavir.7KG377900, Pavir.J003500	Seita.3G018800	GRMZM2G092338
Sobic.006G263600	Bradi5g25900	LOC_Os04g57760	Pavir.7NG436100	Seita.3G018600	GRMZM2G343317, GRMZM2G392116
Sobic.006G263700	Bradi5g25910	LOC_Os04g57780	Pavir.7KG377700	Seita.3G018500	GRMZM2G040513, GRMZM2G542205
Sobic.006G263800	Bradi3g38777	LOC_Os08g37940	Pavir.6KG315300, Pavir.6NG287900	Seita.6G190000	GRMZM2G040300
Sobic.006G263900	Bradi5g25920	LOC_Os05g09650, LOC_Os04g57790	Pavir.7KG377600, Pavir.4NG265700	Seita.3G018400	GRMZM2G092365
Sobic.006G264000	Bradi5g25930	LOC_Os04g11880	Pavir.7KG377500	Seita.3G018300	GRMZM2G040247
Sobic.006G264100	Bradi5g25950	LOC_Os04g57800	Pavir.7NG436400, Pavir.7KG377400, Pavir.J568500	Seita.3G018200	GRMZM2G040115
Sobic.006G264201	Bradi5g12150	LOC_Os04g38410	Pavir.7KG185800	Seita.7G121800	GRMZM2G092427, GRMZM2G039996
Sobic.006G264300	Bradi5g25970	LOC_Os04g58564, LOC_Os04g57810	Pavir.7NG436700, Pavir.7KG377300, Pavir.5NG028500, Pavir.1NG525700	Seita.3G018100, Seita.3G294800, Seita.4G134500	GRMZM2G068059, GRMZM2G407347
Sobic.006G264400					
Sobic.006G264500	Bradi5g25980	LOC_Os06g20400	Pavir.7KG377200	Seita.3G018000	GRMZM2G068177
Sobic.006G264700	Bradi5g25987	LOC_Os04g57840	Pavir.7KG377000, Pavir.7NG437000	Seita.3G017800	GRMZM2G062844
Sobic.006G264800	Bradi2g24320		Pavir.7NG437100, Pavir.7KG376900		GRMZM2G068202
Sobic.006G264900	Bradi1g19220	LOC_Os03g20700	Pavir.7KG075300	Seita.7G217800	GRMZM2G323024
Sobic.006G265000	Bradi5g26000	LOC_Os04g57850	Pavir.7NG437500, Pavir.7KG376700	Seita.3G017400	GRMZM2G105330
Sobic.006G265100	Bradi5g26010	LOC_Os04g57860	Pavir.7KG376500, Pavir.7NG437700	Seita.3G017300	GRMZM2G343144
Sobic.006G265200	Bradi5g26017		Pavir.7NG437900, Pavir.7KG376400	Seita.3G017200	GRMZM2G084819
Sobic.006G265300	Bradi3g23020	LOC_Os10g12354	Pavir.6NG074100, Pavir.6KG073200	Seita.9G420000	GRMZM2G084928
Sobic.006G265400	Bradi5g26023	LOC_Os04g57880	Pavir.7KG376300, Pavir.7NG438000	Seita.3G017100	GRMZM2G343149
Sobic.006G265500					
Sobic.006G265600	Bradi5g26030	LOC_Os04g57890	Pavir.7KG376200, Pavir.7NG438100	Seita.3G017000	GRMZM2G040876, GRMZM2G044096
Sobic.006G265700	Bradi5g26040	LOC_Os04g57900	Pavir.7NG438200, Pavir.7KG376100	Seita.3G016900	GRMZM2G137566
Sobic.006G265800	Bradi5g26047	LOC_Os04g57920	Pavir.7KG376000, Pavir.7NG438300	Seita.3G016800	GRMZM2G137574
Sobic.006G265900	Bradi5g26060	LOC_Os04g57930	Pavir.7KG375800, Pavir.7NG438400	Seita.3G016700	GRMZM2G436199, GRMZM5G892522
Sobic.006G266000	Bradi5g26070	LOC_Os04g57940	Pavir.7KG375700, Pavir.7NG436500, Pavir.7NG438500	Seita.3G016600	GRMZM2G436214
Sobic.006G266100	Bradi3g43520	LOC_Os02g27960	Pavir.1KG256500	Seita.1G161400	GRMZM2G043903, GRMZM2G137596
Sobic.006G266200	Bradi5g26080	LOC_Os04g57950	Pavir.7KG375500, Pavir.7NG438700	Seita.3G016500	GRMZM2G043776
Sobic.006G266300	Bradi5g26090	LOC_Os04g57970	Pavir.7NG438800, Pavir.7KG375400	Seita.3G016400	GRMZM5G835039, GRMZM2G414601, GRMZM2G426243, GRMZM2G095616, GRMZM2G149905
Sobic.006G266400	Bradi5g26100	LOC_Os04g58010, LOC_Os04g58000	Pavir.7NG438900, Pavir.7KG375300	Seita.3G016300	GRMZM2G149940
Sobic.006G266600	Bradi5g26110	LOC_Os04g58020	Pavir.7KG375200, Pavir.7NG439000	Seita.3G016200	GRMZM2G149958
Sobic.006G266700	Bradi5g26120	LOC_Os04g58060	Pavir.7NG439900	Seita.3G016100	GRMZM2G008287
Sobic.006G266800	Bradi5g26130	LOC_Os04g58070	Pavir.7NG439800, Pavir.7KG375000	Seita.3G016000	GRMZM2G150059, GRMZM2G149996
Sobic.006G266850					
Sobic.006G266900	Bradi5g26150	LOC_Os04g58080	Pavir.7NG439700, Pavir.7KG374900	Seita.3G015900	GRMZM2G008583
Sobic.006G267000	Bradi5g26160	LOC_Os04g58090	Pavir.7KG374800, Pavir.7NG439600	Seita.3G015800	GRMZM2G449094
Sobic.006G267100	Bradi5g26170	LOC_Os04g58100	Pavir.7KG374700, Pavir.7NG439500	Seita.3G015700	GRMZM2G008622
Sobic.006G267200	Bradi5g26140	LOC_Os04g58110	Pavir.7NG439400	Seita.3G015600	GRMZM2G150098, GRMZM2G008714
Sobic.006G267300	Bradi2g13760	LOC_Os01g31629	Pavir.9NG071000, Pavir.9NG070900, Pavir.J018700	Seita.9G071600	GRMZM2G160527
Sobic.006G267400	Bradi5g26180	LOC_Os04g58120	Pavir.7NG440600, Pavir.7KG374500	Seita.3G015400	GRMZM2G406588
Sobic.006G267500	Bradi5g26190	LOC_Os04g58130	Pavir.7NG440500	Seita.3G015300	GRMZM2G406553, GRMZM2G160702
Sobic.006G267600	Bradi5g26197	LOC_Os04g58140	Pavir.7KG374300	Seita.3G015200	GRMZM2G084252
Sobic.006G267700	Bradi5g26217	LOC_Os04g58160	Pavir.7NG440700, Pavir.7KG374200	Seita.3G015100	GRMZM2G138870, GRMZM2G084327
Sobic.006G267800	Bradi5g26250	LOC_Os04g58180	Pavir.7NG440900, Pavir.7KG374100	Seita.3G015000	GRMZM2G142667
Sobic.006G267900	Bradi5g26240	LOC_Os04g58190	Pavir.7KG374000, Pavir.7NG441000	Seita.3G014900	GRMZM2G142718
Sobic.006G267950					
Sobic.006G268000	Bradi1g78680	LOC_Os03g43900	Pavir.9NG754500, Pavir.9NG761900, Pavir.9KG574900, Pavir.1KG303600, Pavir.7NG441100	Seita.9G545000, Seita.3G014800	GRMZM2G090105, GRMZM2G017416
Sobic.006G268100					
Sobic.006G268200	Bradi5g26230	LOC_Os04g58200	Pavir.1KG303700, Pavir.7NG441200	Seita.3G014700	GRMZM2G084958
Sobic.006G268300	Bradi5g26260	LOC_Os04g58210	Pavir.7NG441300, Pavir.7KG298100	Seita.3G014600	GRMZM2G142743
Sobic.006G268500					
Sobic.006G268600	Bradi1g35881			Seita.5G352000	
Sobic.006G268700	Bradi5g01000				
Sobic.006G268800	Bradi5g26270	LOC_Os04g58230	Pavir.7NG441500	Seita.3G014400	GRMZM2G386564
Sobic.006G268900	Bradi5g26280	LOC_Os04g58240	Pavir.7NG441600, Pavir.7KG358400	Seita.3G014300	GRMZM2G019500, GRMZM2G142757
Sobic.006G269000	Bradi2g06510, Bradi5g26287	LOC_Os04g58250	Pavir.7NG441700, Pavir.7KG358500	Seita.3G014200	GRMZM2G018595
Sobic.006G269101					
Sobic.006G269200	Bradi5g26320	LOC_Os04g58280	Pavir.7NG442500, Pavir.7KG358600	Seita.3G014100	GRMZM2G142802
Sobic.006G269250					
Sobic.006G269300					
Sobic.006G269400	Bradi3g27730	LOC_Os10g30870	Pavir.9KG216900	Seita.9G237700	GRMZM2G457621
Sobic.006G269501		LOC_Os04g58310	Pavir.9KG153900, Pavir.3NG215700, Pavir.7NG442600	Seita.3G014000	GRMZM2G350225
Sobic.006G269600	Bradi5g26340		Pavir.7KG042700	Seita.3G013900	
Sobic.006G269700	Bradi5g26350	LOC_Os04g58330	Pavir.7NG442800, Pavir.7KG042800	Seita.3G013800	GRMZM2G142820
Sobic.006G269800	Bradi5g26360, Bradi1g30300	LOC_Os04g58350	Pavir.7NG443100	Seita.6G024000	GRMZM2G147854
Sobic.006G269900	Bradi1g30290, Bradi5g26400	LOC_Os09g18320	Pavir.7KG373300, Pavir.2NG323600	Seita.3G013300	GRMZM2G052178
Sobic.006G270000	Bradi1g13600	LOC_Os04g58380	Pavir.7KG373100	Seita.3G013200	GRMZM2G348959
Sobic.006G270100	Bradi5g26410	LOC_Os04g58390	Pavir.7NG443500, Pavir.7KG373000	Seita.3G013100	GRMZM2G173413
Sobic.006G270200	Bradi5g26420	LOC_Os04g58410	Pavir.7NG443600, Pavir.7KG372900	Seita.3G013000	GRMZM2G348956
Sobic.006G270300	Bradi5g26435	LOC_Os04g58420	Pavir.7NG443700, Pavir.7KG372800	Seita.3G012900	GRMZM2G051974
Sobic.006G270400	Bradi5g26450	LOC_Os04g58470, LOC_Os04g58504	Pavir.7NG443800, Pavir.7KG372600	Seita.3G012800	GRMZM2G051917
Sobic.006G270500	Bradi1g23070, Bradi1g74310	LOC_Os11g48070	Pavir.8KG246500, Pavir.8NG299000	Seita.8G252600	GRMZM2G173472
Sobic.006G270600	Bradi4g06441	LOC_Os05g37980	Pavir.5KG048300	Seita.5G140000	GRMZM2G049536
Sobic.006G270700					
Sobic.006G270800		LOC_Os04g58480		Seita.3G012700	GRMZM2G173483
Sobic.006G270900	Bradi5g26460	LOC_Os04g58550	Pavir.7NG444100, Pavir.7KG372500	Seita.3G012200	GRMZM2G173636, GRMZM2G049495
Sobic.006G271000	Bradi3g48930	LOC_Os02g40680	Pavir.1NG178500, Pavir.1NG223500, Pavir.1KG276800, Pavir.1KG277800	Seita.1G137200	GRMZM2G173660
Sobic.006G271100	Bradi5g26467	LOC_Os04g58555	Pavir.7KG372400, Pavir.7NG444300	Seita.3G012100	GRMZM2G064202
Sobic.006G271200	Bradi5g26480	LOC_Os04g58560, LOC_Os03g27350	Pavir.7KG372300	Seita.3G012000	GRMZM2G173682, GRMZM2G064212
Sobic.006G271300	Bradi5g26490	LOC_Os04g58570	Pavir.7KG372100, Pavir.7NG444500	Seita.3G011900	GRMZM2G011513
Sobic.006G271400			Pavir.7NG444700, Pavir.7KG372000		
Sobic.006G271500	Bradi5g26500	LOC_Os04g58580	Pavir.9NG725100, Pavir.7KG371800	Seita.3G011800	GRMZM2G165535
Sobic.006G271600	Bradi5g26510	LOC_Os04g58590	Pavir.7KG371700	Seita.3G011700	
Sobic.006G271700	Bradi5g26520	LOC_Os04g58600	Pavir.7KG371600, Pavir.7NG444800	Seita.3G011500	GRMZM2G011743
Sobic.006G271800	Bradi5g26820	LOC_Os04g58620	Pavir.7NG445300, Pavir.7KG371300	Seita.3G011200	GRMZM2G093643, GRMZM2G058948
Sobic.006G271900	Bradi5g26812, Bradi5g26808	LOC_Os04g58630	Pavir.7KG371200, Pavir.7NG445400	Seita.3G011100	GRMZM2G093623
Sobic.006G272000			Pavir.7NG416000		
Sobic.006G272100	Bradi4g42592, Bradi4g42545	LOC_Os01g60920			GRMZM2G082853
Sobic.006G272200	Bradi5g26810	LOC_Os04g58640	Pavir.7NG445500, Pavir.7KG371100	Seita.3G011000	GRMZM2G074787, GRMZM2G058966
Sobic.006G272300			Pavir.7NG445600, Pavir.7KG371000	Seita.3G010900	
Sobic.006G272400	Bradi5g26800	LOC_Os04g58680	Pavir.7KG370900, Pavir.7NG445700	Seita.3G010800	GRMZM2G375448, GRMZM2G479610, GRMZM2G074773
Sobic.006G272450					
Sobic.006G272500	Bradi5g26770	LOC_Os04g58700	Pavir.7NG445900, Pavir.7KG370500	Seita.3G010300	GRMZM2G119759
Sobic.006G272600	Bradi5g26740	LOC_Os04g58710	Pavir.7KG370400, Pavir.7NG446000	Seita.3G010200	GRMZM2G074759, GRMZM2G333861
Sobic.006G272700	Bradi3g15980, Bradi3g15990, Bradi3g16000	LOC_Os10g04380		Seita.8G178800	
Sobic.006G272800	Bradi5g26730	LOC_Os04g58720	Pavir.7NG446300, Pavir.7KG370300	Seita.3G010100	GRMZM2G074754, GRMZM2G386643
Sobic.006G272900	Bradi5g26725		Pavir.7NG446400, Pavir.7KG370200	Seita.3G010000	
Sobic.006G273000	Bradi5g26720	LOC_Os04g58730	Pavir.7KG370100, Pavir.7NG446500	Seita.3G009900	GRMZM2G074107, GRMZM2G086876
Sobic.006G273100					
Sobic.006G273150				Seita.3G009700	
Sobic.006G273200	Bradi3g12957, Bradi5g26700	LOC_Os04g58750	Pavir.7KG368500, Pavir.7NG447200	Seita.3G009600	GRMZM2G382104
Sobic.006G273300	Bradi5g15727	LOC_Os04g58760	Pavir.7KG368400, Pavir.7NG447300	Seita.3G009500	
Sobic.006G273400	Bradi5g26670	LOC_Os04g58780	Pavir.7NG447400, Pavir.7KG368300	Seita.3G009400	GRMZM2G404066, GRMZM2G168171, GRMZM2G330519, GRMZM2G168167
Sobic.006G273500	Bradi4g20920	LOC_Os11g14240	Pavir.J301400		GRMZM2G349785, GRMZM2G398407, GRMZM2G014043
Sobic.006G273600	Bradi5g15741, Bradi5g26660	LOC_Os04g58790	Pavir.7KG368200, Pavir.7NG447500	Seita.3G009300	GRMZM2G377694
Sobic.006G273700					
Sobic.006G273800	Bradi5g26650	LOC_Os04g58810	Pavir.7KG367600	Seita.3G009100	
